Well;XCOOR;YCOOR;EOR_Region;RF_Region;Facility;Status
X-2375;3702.853848;1177.98395;7;orta;F3;INJ
X-2392;5759.577029;1361.101582;9;dogu;F4;URT
X-2426;4222.74089;803.6913633;8;orta;F4;DIN
X-243;2650.017665;601.5517273;4;bati;F2;INJSHI
X-2502;1277.986911;1447.95756;2;bati;F1;URT
X-2519;5517.824083;1226.590183;9;dogu;F4;URT
X-252;3776.4532;1072.300228;6;orta;F3;URT
X-2556;4039.254948;661.9587017;6;orta;F3;INJSHI
X-2565;3583.298284;719.1919267;6;orta;F3;DIN
X-2601;2337.654256;1474.973773;5;bati;F2;URT
X-263;3895.845436;992.7556767;6;orta;F3;URT
X-2649;2863.919228;927.571685;4;bati;F2;URT
X-2653;2644.31346;722.8148533;4;bati;F2;DIN
X-2656;5444.910705;1088.984543;9;dogu;F4;INJ
X-2684;4263.099059;1225.598387;7;orta;F3;DIN
X-2692;2144.066523;1419.515127;5;bati;F2;URT
X-2753;6531.865955;1315.974833;11;dogu;F5;URT
X-2825;6928.743061;837.2321233;10;dogu;F5;DIN
X-2826;5218.200201;1089.418967;9;dogu;F4;URT
X-2844;1155.017807;1104.254933;2;bati;F1;URT
X-286;4059.740271;1318.138753;7;orta;F3;DIN
X-29;2898.850849;1405.461942;5;bati;F2;URT
X-2915;1833.258806;606.6885783;3;bati;F1;INJSHI
X-2982;1226.926722;816.006855;2;bati;F1;LOKT
X-3003;5805.863978;913.973415;8;dogu;F4;DIN
X-307;6336.334627;1023.038262;11;dogu;F5;URT
X-3073;3910.181488;812.7527783;6;orta;F3;INJ
X-3081;6115.61415;792.1340633;10;dogu;F5;WINJ
X-3187;2245.329432;610.6590437;4;bati;F2;TERK
X-3202;3391.895053;1428.715885;7;orta;F3;URT
X-3204;6354.141383;1147.881692;11;dogu;F5;URT
X-3254;2243.708409;1447.1215;5;bati;F2;DIN
X-3292;3324.052987;898.924335;6;orta;F3;DIN
X-3318;5574.327153;960.0017967;9;dogu;F4;URT
X-332;1228.278255;1207.532933;2;bati;F1;DIN
X-3394;3032.938456;1461.199275;5;bati;F2;URT
X-3416;2349.368905;929.35446;4;bati;F2;DIN
X-3431;1945.509558;935.8380233;4;bati;F2;DIN
X-3453;3134.458606;695.4379867;6;bati;F3;INJSHI
X-3467;5102.609407;1026.398895;8;dogu;F4;DIN
X-3500;2154.160149;819.53552;4;bati;F2;DIN
X-3525;4900.86756;994.5589433;8;dogu;F4;DIN
X-3527;5744.779578;1040.99306;9;dogu;F4;URT
X-3572;5318.213656;1431.18718;9;dogu;F4;URT
X-3632;2033.37963;1213.561582;4;bati;F2;INJ
X-3679;4953.769263;715.79031;8;dogu;F4;DIN
X-3695;3471.206777;1222.352507;7;orta;F3;INJSHI
X-3706;5843.033182;1008.19;10;dogu;F4;OLUR
X-3716;3994.107207;1397.6956;7;orta;F3;URT
X-3731;4062.324925;960.055075;6;orta;F3;DIN
X-3755;4412.694591;739.7491667;8;orta;F4;OLUR
X-3757;3638.457987;1209.512428;7;orta;F3;URT
X-3795;4761.316655;1019.456318;8;orta;F4;DIN
X-3811;1351.998665;1122.148257;2;bati;F1;URT
X-3819;1444.425568;1428.191298;2;bati;F1;DIN
X-3824;3713.351708;1446.830518;7;orta;F3;URT
X-3835;4891.937641;1406.461935;9;orta;F4;URT
X-3848;3578.692455;1071.919083;7;orta;F3;URT
X-3855;4966.782364;1443.842833;9;dogu;F4;URT
X-3862;3385.917275;1218.233682;7;orta;F3;URT
X-3873;4616.326951;936.1822833;8;orta;F4;DIN
X-3884;3565.565025;1418.81841;7;orta;F3;URT
X-3896;4167.94459;1328.86819;7;orta;F3;URT
X-391;4992.779982;1193.045325;9;dogu;F4;URT
X-3934;2069.764864;1341.794333;5;bati;F1;DIN
X-3947;3706.765536;623.57781;6;orta;F3;INJSHI
X-396;6030.189904;1126.04987;11;dogu;F5;URT
X-3962;4975.765364;1358.187667;9;dogu;F4;URT
X-3978;2565.463136;1424.170833;5;bati;F2;DIN
X-3979;2539.289941;732.1430698;4;bati;F2;DIN
X-3980;3269.403682;1325.810833;7;orta;F3;URT
X-3983;4382.609707;1219.385313;7;orta;F3;DIN
X-4032;4181.970319;1205.434587;7;orta;F3;DIN
X-4065;5513.206004;1029.784118;9;dogu;F4;URT
X-4079;4911.291923;819.8387967;8;dogu;F4;INJSHI
X-4099;2136.602467;694.8847117;4;bati;F1;DIN
X-41;2257.574895;1209.541117;4;bati;F2;INJ
X-4121;1091.442666;1350.659028;1;bati;F1;URT
X-4122;3819.971752;1297.610202;7;orta;F3;URT
X-4147;2769.09958;1298.03233;5;bati;F2;URT
X-4190;6634.480397;1107.468027;11;dogu;F5;URT
X-4196;3673.034371;992.2105983;6;orta;F3;URT
X-4222;2868.99054;1025.08333;5;bati;F2;INJSHI
X-4233;5632.210338;920.637305;8;dogu;F4;INJSHI
X-4241;3131.147145;1485.174525;5;bati;F2;URT
X-4269;4349.099034;821.2486233;8;orta;F4;INJ
X-4308;4655.782737;1041.423385;8;orta;F4;DIN
X-4328;1843.189105;1421.00692;5;bati;F1;URT
X-4338;2265.283942;1350.130343;5;bati;F2;DIN
X-4344;6626.301784;1329.536218;11;dogu;F5;URT
X-4424;1954.745715;806.6421633;4;bati;F1;DIN
X-4456;6431.872915;1444.035455;11;dogu;F5;URT
X-4480;3550.730826;1318.700225;7;orta;F3;URT
X-4528;1739.851939;1417.400387;5;bati;F1;INJ
X-4537;1514.525634;1283.307018;2;bati;F1;DIN
X-4540;1622.125641;605.9508783;3;bati;F1;INJSHI
X-4560;6627.718648;1216.561562;11;dogu;F5;URT
X-4581;2132.613198;1124.238407;4;bati;F2;DIN
X-4602;4507.844977;1484.03109;7;orta;F3;URT
X-4604;2966.358094;729.1139917;6;bati;F2;DIN
X-469;2656.926409;1413.515167;5;bati;F2;URT
X-4693;4224.410911;1083.160812;8;orta;F4;DIN
X-4715;2549.085494;1313.355998;5;bati;F2;URT
X-4733;1838.930346;1224.524623;5;bati;F1;URT
X-4739;2667.0527;1225.299208;5;bati;F2;URT
X-4755;5818.534091;1256.139167;11;dogu;F5;URT
X-4782;5538.836136;1300.811;9;dogu;;URT
X-483;3777.755735;1151.004622;7;orta;F3;URT
X-4869;2658.502517;820.792069;4;bati;F2;DIN
X-4872;3852.155391;1367.232688;7;orta;F3;URT
X-4873;3969.555035;905.2972433;6;orta;F3;URT
X-4896;5083.455201;1164.758628;9;dogu;F4;URT
X-4932;2466.458227;913.6496467;4;bati;F2;DIN
X-5059;2451.170794;1406.293903;5;bati;F2;INJ
X-5065;2545.218721;1099.804143;5;bati;F2;DIN
X-5069;1525.472644;908.2849283;2;bati;F1;URT
X-5076;1629.60603;1421.109378;5;bati;F1;URT
X-5109;6426.111545;1256.139167;11;dogu;F5;URT
X-5117;4814.569512;1375.54001;9;orta;F4;URT
X-520;6457.376469;1105.406565;11;dogu;F5;URT
X-5227;3226.121955;1464.744333;5;bati;F2;URT
X-5239;5615.599955;1115.886003;9;dogu;F4;URT
X-5249;4753.399365;1242.16385;9;orta;F4;URT
X-5256;1682.127998;1086.857508;5;bati;F1;URT
X-528;5121.600285;941.7273283;8;dogu;F4;DIN
X-5308;1984.263036;1175.660195;5;bati;F1;URT
X-5334;5722.914139;1201.655923;9;dogu;F4;INJ
X-5364;1956.162579;1016.239127;4;bati;F2;DIN
X-5423;1154.519659;1279.802943;2;bati;F1;INJSHI
X-5442;2864.327546;604.6394117;6;bati;F2;INJ
X-5518;5187.813162;914.4611167;8;dogu;F4;URT
X-5545;3374.435368;995.390905;6;orta;F3;DIN
X-5628;2827.346169;728.4254717;4;bati;F2;DIN
X-5658;1629.230377;808.7937883;4;bati;F1;INJ
X-5708;1945.62797;1335.429622;5;bati;F1;URT
X-5751;2995.65084;924.842195;4;bati;F2;DIN
X-5789;5711.758886;838.2321167;8;dogu;F4;DIN
X-5793;4233.169336;658.7579033;8;orta;F3;INJSHI
X-5802;5340.76507;798.7118883;8;dogu;F4;INJSHI
X-581;2983.188969;837.842775;4;bati;F2;DIN
X-5842;6020.30452;1445.531347;9;dogu;F5;URT
X-585;1432.502677;1221.643495;2;bati;F1;INJSHI
X-5857;3367.461293;1108.865558;7;orta;F3;DIN
X-5861;1432.257686;1033.24721;2;bati;F1;INJSHI
X-5870;6825.038409;1204.500167;11;dogu;F5;URT
X-595;3076.910241;1142.496482;7;bati;F2;URT
X-5981;4989.648182;1021.7145;8;dogu;F4;OLUR
X-5995;5921.49152;1024.866118;11;dogu;F5;URT
X-6112;5922.238743;1221.651692;11;dogu;F5;URT
X-6133;1324.743426;935.8503183;2;bati;F1;URT
X-6178;4803.953239;931.9159183;8;orta;F4;DIN
X-620;1941.642785;1104.660668;4;bati;F2;DIN
X-6212;6075.468307;861.7975333;10;dogu;F5;DIN
X-6333;2377.661272;1000.087595;4;bati;F2;INJ
X-6420;4975.744948;1100.77135;8;dogu;F4;DIN
X-6421;2349.434236;815.023255;4;bati;F2;DIN
X-6459;2355.179273;1377.04;5;bati;F2;URT
X-6464;5300.925465;925.6495667;8;dogu;F4;DIN
X-6499;3556.835183;916.702905;6;orta;F3;URT
X-6566;3877.275125;627.3974567;6;orta;F3;INJSHI
X-6595;3453.489851;1416.793833;7;orta;F3;INJSHI
X-6608;3464.342948;1431.584718;7;orta;F3;DDK
X-6623;4669.244988;1240.622877;9;orta;F4;URT
X-6641;4180.761697;927.6987333;6;orta;F3;DIN
X-6649;2640.593682;1312.696167;5;bati;F2;URT
X-6713;3018.639154;1379.412935;5;bati;F2;URT
