Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-2556;1971-02-01;1137.0;31853;720.0;0.0;;28;
X-6566;1971-02-01;560.0;15690;680.0;0.0;;28;
X-2556;1971-01-01;1400.0;43429;720.0;0.0;;31;
X-6566;1971-01-01;690.0;21391;680.0;0.0;;31;
X-2556;1970-12-01;1337.0;41459;720.0;0.0;;31;
X-6566;1970-12-01;658.0;20421;680.0;0.0;;31;
X-2556;1970-11-01;1510.0;45322;720.0;0.0;;30;
X-6566;1970-11-01;744.0;22324;680.0;0.0;;30;
X-3947;1970-10-01;950.0;29458;50.0;0.0;;31;
X-2556;1970-10-01;1143.0;35455;600.0;0.0;;31;
X-6566;1970-10-01;616.0;19102;600.0;0.0;;31;
X-3947;1970-09-01;991.0;29731;50.0;0.0;;30;
X-2556;1970-09-01;1192.0;35784;50.0;0.0;;30;
X-6566;1970-09-01;642.0;19279;50.0;0.0;;30;
X-3947;1970-08-01;971.0;30113;50.0;0.0;;31;
X-2556;1970-08-01;1169.0;36244;50.0;0.0;;31;
X-6566;1970-08-01;629.0;19527;50.0;0.0;;31;
X-3947;1970-07-01;993.0;30796;50.0;0.0;;31;
X-2556;1970-07-01;1195.0;37065;50.0;0.0;;31;
X-6566;1970-07-01;644.0;19969;50.0;0.0;;31;
X-3947;1970-06-01;1239.0;37173;50.0;0.0;;30;
X-2556;1970-06-01;334.0;10020;50.0;0.0;;30;
X-6566;1970-06-01;334.0;10020;50.0;0.0;;30;
X-3947;1970-05-01;1417.0;43933;50.0;0.0;;31;
X-2556;1970-05-01;382.0;11843;50.0;0.0;;31;
X-6566;1970-05-01;382.0;11843;50.0;0.0;;31;
X-3947;1970-04-01;1381.0;41448;50.0;0.0;;30;
X-2556;1970-04-01;372.0;11173;50.0;0.0;;30;
X-6566;1970-04-01;372.0;11173;50.0;0.0;;30;
X-3947;1970-03-01;1270.0;39378;50.0;0.0;;31;
X-2556;1970-03-01;342.0;10615;50.0;0.0;;31;
X-6566;1970-03-01;342.0;10615;50.0;0.0;;31;
X-3947;1970-02-01;1362.0;38159;50.0;0.0;;28;
X-6566;1970-02-01;367.0;10286;50.0;0.0;;28;
X-3947;1970-01-01;1402.0;43474;400.0;0.0;;31;
X-6566;1970-01-01;378.0;11719;400.0;0.0;;31;
X-3947;1969-12-01;1211.0;37551;0.0;0.0;;31;
X-6566;1969-12-01;326.0;10122;600.0;0.0;;31;
X-3947;1969-11-01;1296.0;38888;0.0;0.0;;30;
X-5802;1969-11-01;349.0;10483;0.0;0.0;;30;
X-8953;1969-10-01;88.0;2753;380.0;0.0;;31;
X-3081;1969-10-01;107.0;3343;540.0;0.0;;31;
X-9199;1969-10-01;919.0;28516;0.0;0.0;;31;
X-3947;1969-10-01;673.0;20866;0.0;0.0;;31;
X-2556;1969-10-01;406.0;12587;0.0;0.0;;31;
X-6566;1969-10-01;181.0;5625;0.0;0.0;;31;
X-5802;1969-10-01;761.0;23600;0.0;0.0;;31;
X-1602;1969-10-01;615.0;19076;0.0;0.0;;31;
X-8953;1969-09-01;98.0;2946;380.0;0.0;;30;
X-3081;1969-09-01;119.0;3577;540.0;0.0;;30;
X-9199;1969-09-01;1017.0;30511;0.0;0.0;;30;
X-2556;1969-09-01;448.0;13467;0.0;0.0;;30;
X-6566;1969-09-01;459.0;13783;0.0;0.0;;30;
X-5802;1969-09-01;841.0;25250;0.0;0.0;;30;
X-1602;1969-09-01;680.0;20411;0.0;0.0;;30;
X-8953;1969-08-01;89.0;2768;380.0;0.0;;31;
X-3081;1969-08-01;108.0;3361;540.0;0.0;;31;
X-9199;1969-08-01;924.0;28667;0.0;0.0;;31;
X-2556;1969-08-01;408.0;12653;0.0;0.0;;31;
X-6566;1969-08-01;417.0;12950;0.0;0.0;;31;
X-5802;1969-08-01;765.0;23725;0.0;0.0;;31;
X-1602;1969-08-01;618.0;19177;0.0;0.0;;31;
X-8953;1969-07-01;98.0;3065;380.0;0.0;;31;
X-3081;1969-07-01;120.0;3722;540.0;0.0;;31;
X-9199;1969-07-01;1024.0;31748;0.0;0.0;;31;
X-2556;1969-07-01;452.0;14013;0.0;0.0;;31;
X-6566;1969-07-01;462.0;14341;0.0;0.0;;31;
X-5802;1969-07-01;847.0;26274;0.0;0.0;;31;
X-1602;1969-07-01;685.0;21238;0.0;0.0;;31;
X-8953;1969-06-01;99.0;2989;380.0;0.0;;30;
X-3081;1969-06-01;120.0;3629;540.0;0.0;;30;
X-9199;1969-06-01;1031.0;30956;0.0;0.0;;30;
X-2556;1969-06-01;455.0;13664;0.0;0.0;;30;
X-6566;1969-06-01;466.0;13984;0.0;0.0;;30;
